"Station","Low","Normal","High","Flow_Type","PEARSEDA","PERSEDA_CODE","StationName","Prov","Latitude","Longitude","DrainageArea","Years","From","To","Reg.","OperSched","Operator"
"01AD002",96,165,104,"Normal","Saint John - St. Croix",23,"SAINT JOHN RIVER AT FORT KENT","ME",47.25806,-68.59583,14700,93,1926,2018,FALSE,"Continuous","UNITED STATES GEOLOGICAL SURVEY"
"01AD003",111,105,149,"High","Saint John - St. Croix",23,"ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE","NB",47.20661,-68.95694,1350,68,1951,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AE001",78,142,145,"High","Saint John - St. Croix",23,"FISH RIVER NEAR FORT KENT","ME",47.2375,-68.58278,2260,37,1981,2018,FALSE,"Continuous","UNITED STATES GEOLOGICAL SURVEY"
"01AF002",88,162,115,"Normal","Saint John - St. Croix",23,"SAINT JOHN RIVER AT GRAND FALLS","NB",47.03889,-67.73972,21900,90,1930,2019,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AF007",71,182,112,"Normal","Saint John - St. Croix",23,"GRANDE RIVIERE AT VIOLETTE BRIDGE","NB",47.24697,-67.92128,339,43,1977,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AG003",67,167,131,"Normal","Saint John - St. Croix",23,"AROOSTOOK RIVER NEAR TINKER","NB",46.81636,-67.75197,6060,44,1975,2018,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AH002",83,190,92,"Normal","Saint John - St. Croix",23,"TOBIQUE RIVER AT RILEY BROOK","NB",47.17303,-67.21081,2230,66,1954,2019,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AJ003",87,162,116,"Normal","Saint John - St. Croix",23,"MEDUXNEKEAG RIVER NEAR BELLEVILLE","NB",46.21622,-67.72794,1210,53,1967,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AJ004",84,183,98,"Normal","Saint John - St. Croix",23,"BIG PRESQUE ISLE STREAM AT TRACEY MILLS","NB",46.43836,-67.73844,484,53,1967,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AJ010",64,189,112,"Normal","Saint John - St. Croix",23,"BECAGUIMEC STREAM AT COLDSTREAM","NB",46.34089,-67.46511,350,46,1973,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AK001",45,184,136,"Normal","Saint John - St. Croix",23,"SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY","NB",45.94353,-67.32036,234,100,1918,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AK006",53,185,127,"Normal","Saint John - St. Croix",23,"MIDDLE BRANCH NASHWAAKSIS STREAM AT SANDWITH'S FARM","NB",46.08281,-66.73303,5.7,53,1966,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AK007",65,213,87,"Normal","Saint John - St. Croix",23,"NACKAWIC STREAM NEAR TEMPERANCE VALE","NB",46.04878,-67.23961,240,52,1967,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AL002",71,182,112,"Normal","Saint John - St. Croix",23,"NASHWAAK RIVER AT DURHAM BRIDGE","NB",46.12592,-66.61131,1450,58,1962,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AL004",84,181,100,"Normal","Saint John - St. Croix",23,"NARROWS MOUNTAIN BROOK NEAR NARROWS MOUNTAIN","NB",46.27717,-67.02139,3.89,47,1972,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AM001",48,187,130,"Normal","Saint John - St. Croix",23,"NORTH BRANCH OROMOCTO RIVER AT TRACY","NB",45.67378,-66.68289,557,57,1962,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AN002",66,198,101,"Normal","Saint John - St. Croix",23,"SALMON RIVER AT CASTAWAY","NB",46.29072,-65.72275,1050,45,1974,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AP002",59,192,114,"Normal","Saint John - St. Croix",23,"CANAAN RIVER AT EAST CANAAN","NB",46.07236,-65.36639,668,75,1925,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AP004",48,209,108,"Normal","Saint John - St. Croix",23,"KENNEBECASIS RIVER AT APOHAQUI","NB",45.70139,-65.60169,1100,59,1961,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AQ001",54,235,76,"Normal","Saint John - St. Croix",23,"LEPREAU RIVER AT LEPREAU","NB",45.16978,-66.46828,239,104,1916,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AQ002",70,182,113,"Normal","Saint John - St. Croix",23,"MAGAGUADAVIC RIVER AT ELMCROFT","NB",45.27333,-66.80667,1420,94,1917,2019,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AR004",41,233,91,"Normal","Saint John - St. Croix",23,"ST. CROIX RIVER AT VANCEBORO","ME",45.56889,-67.42972,1080,92,1928,2019,TRUE,"Continuous","UNITED STATES GEOLOGICAL SURVEY"
"01AR005",64,193,108,"Normal","Saint John - St. Croix",23,"ST. CROIX RIVER AT BARING","ME",45.13667,-67.31806,3550,45,1975,2019,TRUE,"Continuous","UNITED STATES GEOLOGICAL SURVEY"
"01AR006",68,187,110,"Normal","Saint John - St. Croix",23,"DENNIS STREAM NEAR ST. STEPHEN","NB",45.20903,-67.26215,115,54,1966,2019,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AR011",12,249,104,"Normal","Saint John - St. Croix",23,"FOREST CITY STREAM BELOW FOREST CITY DAM","ME",45.66417,-67.73356,357,46,1975,2020,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01BC001",100,148,117,"Normal","Maritime Coastal",24,"RESTIGOUCHE RIVER BELOW KEDGWICK RIVER","NB",47.66708,-67.48308,3160,58,1962,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01BE001",57,162,146,"Normal","Maritime Coastal",24,"UPSALQUITCH RIVER AT UPSALQUITCH","NB",47.83247,-66.88708,2270,93,1918,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01BG005",148,107,110,"Low","Maritime Coastal",24,"CASCAPEDIA (RIVIERE) EN AVAL DU RUISSEAU BERRY","QC",48.62833,-66.16806,1680,43,1978,2020,FALSE,"Continuous","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC"
"01BG009",37,227,101,"Normal","Maritime Coastal",24,"BONAVENTURE (RIVIERE) EN AMONT DU RUISSEAU CREUX","QC",48.18611,-65.55861,1910,39,1982,2020,FALSE,"Continuous","MINISTERE DE L'ENVIRONNEMENT DU QUEBEC"
