"Station","Low","Normal","High","Flow_Type","PEARSEDA","PERSEDA_CODE","StationName","Prov","Latitude","Longitude","DrainageArea","Years","From","To","Reg.","OperSched","Operator"
"01AD002",26,176,163,"Normal","Saint John - St. Croix",23,"SAINT JOHN RIVER AT FORT KENT","ME",47.25806,-68.59583,14700,93,1926,2018,FALSE,"Continuous","UNITED STATES GEOLOGICAL SURVEY"
"01AD003",16,189,160,"Normal","Saint John - St. Croix",23,"ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE","NB",47.20661,-68.95694,1350,68,1951,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AE001",7,150,208,"High","Saint John - St. Croix",23,"FISH RIVER NEAR FORT KENT","ME",47.2375,-68.58278,2260,37,1981,2018,FALSE,"Continuous","UNITED STATES GEOLOGICAL SURVEY"
"01AF002",17,185,163,"Normal","Saint John - St. Croix",23,"SAINT JOHN RIVER AT GRAND FALLS","NB",47.03889,-67.73972,21900,90,1930,2019,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AF007",35,170,160,"Normal","Saint John - St. Croix",23,"GRANDE RIVIERE AT VIOLETTE BRIDGE","NB",47.24697,-67.92128,339,43,1977,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AG003",13,176,176,"High","Saint John - St. Croix",23,"AROOSTOOK RIVER NEAR TINKER","NB",46.81636,-67.75197,6060,44,1975,2018,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AH002",37,148,180,"High","Saint John - St. Croix",23,"TOBIQUE RIVER AT RILEY BROOK","NB",47.17303,-67.21081,2230,66,1954,2019,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AJ003",35,160,170,"High","Saint John - St. Croix",23,"MEDUXNEKEAG RIVER NEAR BELLEVILLE","NB",46.21622,-67.72794,1210,53,1967,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AJ004",28,160,177,"High","Saint John - St. Croix",23,"BIG PRESQUE ISLE STREAM AT TRACEY MILLS","NB",46.43836,-67.73844,484,53,1967,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AJ010",42,185,138,"Normal","Saint John - St. Croix",23,"BECAGUIMEC STREAM AT COLDSTREAM","NB",46.34089,-67.46511,350,46,1973,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AK001",4,231,130,"Normal","Saint John - St. Croix",23,"SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY","NB",45.94353,-67.32036,234,100,1918,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AK006",19,208,138,"Normal","Saint John - St. Croix",23,"MIDDLE BRANCH NASHWAAKSIS STREAM AT SANDWITH'S FARM","NB",46.08281,-66.73303,5.7,53,1966,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AK007",33,183,149,"Normal","Saint John - St. Croix",23,"NACKAWIC STREAM NEAR TEMPERANCE VALE","NB",46.04878,-67.23961,240,52,1967,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AL002",9,199,157,"Normal","Saint John - St. Croix",23,"NASHWAAK RIVER AT DURHAM BRIDGE","NB",46.12592,-66.61131,1450,58,1962,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AL004",54,156,155,"Normal","Saint John - St. Croix",23,"NARROWS MOUNTAIN BROOK NEAR NARROWS MOUNTAIN","NB",46.27717,-67.02139,3.89,47,1972,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AM001",22,225,118,"Normal","Saint John - St. Croix",23,"NORTH BRANCH OROMOCTO RIVER AT TRACY","NB",45.67378,-66.68289,557,57,1962,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AN002",27,187,151,"Normal","Saint John - St. Croix",23,"SALMON RIVER AT CASTAWAY","NB",46.29072,-65.72275,1050,45,1974,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AP002",25,193,147,"Normal","Saint John - St. Croix",23,"CANAAN RIVER AT EAST CANAAN","NB",46.07236,-65.36639,668,75,1925,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AP004",2,207,156,"Normal","Saint John - St. Croix",23,"KENNEBECASIS RIVER AT APOHAQUI","NB",45.70139,-65.60169,1100,59,1961,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AQ001",35,197,133,"Normal","Saint John - St. Croix",23,"LEPREAU RIVER AT LEPREAU","NB",45.16978,-66.46828,239,104,1916,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AQ002",22,227,116,"Normal","Saint John - St. Croix",23,"MAGAGUADAVIC RIVER AT ELMCROFT","NB",45.27333,-66.80667,1420,94,1917,2019,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AR004",20,157,188,"High","Saint John - St. Croix",23,"ST. CROIX RIVER AT VANCEBORO","ME",45.56889,-67.42972,1080,92,1928,2019,TRUE,"Continuous","UNITED STATES GEOLOGICAL SURVEY"
"01AR005",22,208,135,"Normal","Saint John - St. Croix",23,"ST. CROIX RIVER AT BARING","ME",45.13667,-67.31806,3550,45,1975,2019,TRUE,"Continuous","UNITED STATES GEOLOGICAL SURVEY"
"01AR006",18,224,123,"Normal","Saint John - St. Croix",23,"DENNIS STREAM NEAR ST. STEPHEN","NB",45.20903,-67.26215,115,54,1966,2019,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AR011",36,196,133,"Normal","Saint John - St. Croix",23,"FOREST CITY STREAM BELOW FOREST CITY DAM","ME",45.66417,-67.73356,357,46,1975,2020,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
