"Station","Low","Normal","High","Flow_Type","PEARSEDA","PERSEDA_CODE","StationName","Prov","Latitude","Longitude","DrainageArea","Years","From","To","Reg.","OperSched","Operator"
"01AD002",17,185,163,"Normal","Saint John - St. Croix",23,"SAINT JOHN RIVER AT FORT KENT","ME",47.25806,-68.59583,14700,93,1926,2018,FALSE,"Continuous","UNITED STATES GEOLOGICAL SURVEY"
"01AD003",10,147,208,"High","Saint John - St. Croix",23,"ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE","NB",47.20661,-68.95694,1350,68,1951,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AE001",8,172,185,"High","Saint John - St. Croix",23,"FISH RIVER NEAR FORT KENT","ME",47.2375,-68.58278,2260,37,1981,2018,FALSE,"Continuous","UNITED STATES GEOLOGICAL SURVEY"
"01AF002",23,174,168,"Normal","Saint John - St. Croix",23,"SAINT JOHN RIVER AT GRAND FALLS","NB",47.03889,-67.73972,21900,90,1930,2019,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AF007",16,177,172,"Normal","Saint John - St. Croix",23,"GRANDE RIVIERE AT VIOLETTE BRIDGE","NB",47.24697,-67.92128,339,43,1977,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AG003",18,199,148,"Normal","Saint John - St. Croix",23,"AROOSTOOK RIVER NEAR TINKER","NB",46.81636,-67.75197,6060,44,1975,2018,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AH002",2,143,220,"High","Saint John - St. Croix",23,"TOBIQUE RIVER AT RILEY BROOK","NB",47.17303,-67.21081,2230,66,1954,2019,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AJ003",15,191,159,"Normal","Saint John - St. Croix",23,"MEDUXNEKEAG RIVER NEAR BELLEVILLE","NB",46.21622,-67.72794,1210,53,1967,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AJ004",19,188,158,"Normal","Saint John - St. Croix",23,"BIG PRESQUE ISLE STREAM AT TRACEY MILLS","NB",46.43836,-67.73844,484,53,1967,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AJ010",13,215,137,"Normal","Saint John - St. Croix",23,"BECAGUIMEC STREAM AT COLDSTREAM","NB",46.34089,-67.46511,350,46,1973,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
